ROW_ID, MENU_ID, MENU_NAME, TYPE, LAST_UPDATE_DATE, LAST_UPDATED_BY, LAST_UPDATE_LOGIN, CREATION_DATE, CREATED_BY, USER_MENU_NAME, DESCRIPTION
AAA/JXAGXAAAUfjABa,78337,FII_PL_MGR_KPI_REGION,STANDARD,18.08.03,2,0,18.08.03,2,FII_PL_MGR_KPI_REGION,Profit and Loss by Manager KPI Region
AAA/JXAGXAAAUfjABb,78338,FII_PL_MGR_REV,STANDARD,18.08.03,2,0,18.08.03,2,FII_PL_MGR_REV,Profit and Loss by Manager Page Revenue Rack
AAA/JXAGXAAAUfjABc,78339,FII_PL_MGR_COGS,STANDARD,18.08.03,2,0,18.08.03,2,FII_PL_MGR_COGS,Profit and Loss by Manager Page Cost of Goods Sold Rack
AAA/JXAGXAAAUfjABd,78340,FII_PL_MGR_GM,STANDARD,18.08.03,2,0,18.08.03,2,FII_PL_MGR_GM,Profit and Loss by Manager Gross Margin Rack
AAA/JXAGXAAAUfjABe,78341,FII_PL_MGR_EXP,STANDARD,18.08.03,2,0,18.08.03,2,FII_PL_MGR_EXP,Profit and Loss by Manager Expenses Rack
AAA/JXAGXAAAUfjABf,78342,FII_PL_MGR_OM,STANDARD,18.08.03,2,0,18.08.03,2,FII_PL_MGR_OM,Profit and Loss by Manager Operating Margin Rack
AAA/JXAGXAAAUfjABg,78343,FII_PL_MGR,STANDARD,18.08.03,2,0,18.08.03,2,FII_PL_MGR,Profit and Loss by Manager Page
AAA/JXAGXAAAUfjABh,78344,BIM_DBI_SETUP,STANDARD,07.04.04,2,0,07.04.04,2,Marketing Intelligence Setups,Marketing Intelligence Setups
AAA/JXAGXAAAUfjABi,78345,BIM_I_MKTG_ROOT,,30.09.02,2,0,30.09.02,2,Marketing Intelligence Root,
AAA/JXAGXAAAUfjABj,78346,BIM_DBI_COLLECTION_MENU,STANDARD,05.12.02,2,0,05.12.02,2,BIM DBI Collection Menu,BIM DBI Collection Menu
AAA/JXAGXAAAUfjABk,78347,BIM_DBI_TOP,STANDARD,06.12.02,2,0,06.12.02,2,BIM DBI Top Menu,Top Level Menu for Marketing DBI
AAA/JXAGXAAAUfjABl,78348,ISC_DBI_OPS_MAIN_MENU,,11.06.03,2,0,11.06.03,2,Vice President Operations - obsoleted,Vice President Operations Main Menu - obsoleted in 6.0
AAA/JXAGXAAAUfjABm,78349,ISC_DBI_SCM_PAGES,,14.01.05,120,0,06.01.04,2,Supply Chain Manager OA Pages Menu,
AAA/JXAGXAAAUfjABn,78350,ISC_DBI_VPO_MAIN_MENU,,14.01.05,121,0,06.01.04,2,Supply Chain Manager,Supply Chain Manager Main Menu
AAA/JXAGXAAAUfjABo,78351,ISC_DBI_SHIP_MGMT_MAIN_MENU,,14.01.05,120,0,06.01.04,2,Shipping Management Main Menu,Shipping Management Main Menu
AAA/JXAGXAAAUfkABL,78352,OPI_DBI_INV_MGMT_MENU,,13.01.05,120,0,08.03.04,2,Inventory Management Page Menu,
AAA/JXAGXAAAUfkABM,78353,OPI_DBI_MFG_MGMT_OA,STANDARD,25.02.04,120,0,08.03.04,2,Manufacturing Management OA page,Manufacturing Management
AAA/JXAGXAAAUfkABN,78354,OPI_DBI_CST_MGMT_PORTLETS,,25.02.04,2,0,13.02.04,2,Product Cost Management Portlets Menu,Product Cost Management Portlets Menu
AAA/JXAGXAAAUfkABO,78355,ISC_DBI_PLAN_MGMT_MAIN_MENU,,14.01.05,120,0,06.01.04,2,Plan Management Main Menu,
AAA/JXAGXAAAUfkABP,78356,ISC_DBI_SHIP_MGMT_FUNC1,,14.01.05,120,0,06.01.04,2,Shipping Management Functional Area 1,Shipping Performance Reports
AAA/JXAGXAAAUfkABQ,78357,ISC_DBI_SHIP_MGMT_FUNC2,,14.01.05,120,0,06.01.04,2,Shipping Management Functional Area 2,Book to Ship Days Reports
AAA/JXAGXAAAUfkABR,78358,ISC_DBI_SHIP_MGMT_FUNC3,,14.01.05,120,0,06.01.04,2,Shipping Management Functional Area 3,Past Due Schedule Performance Reports
AAA/JXAGXAAAUfkABS,78359,OPI_DBI_INV_MGMT_INV,,13.01.05,120,0,04.03.04,2,Inventory Value Summary Reports,Inventory Value Summary Reports
AAA/JXAGXAAAUfkABT,78360,OPI_DBI_INV_MGMT_CCA,,13.01.05,120,0,04.03.04,2,Cycle Count Accuracy Reports,Cycle Count Accuracy Reports
AAA/JXAGXAAAUfkABU,78361,OPI_DBI_OPS_MGMT_GROSS_MRG,,08.03.04,120,0,04.03.04,2,Obsolete (Operations Management: Gross Margin),Obsolete (Operations Management: Gross Margin) in DBI 7.0. Kept only for dummy entry in Supply Chain Manager menu.
